Th I | 583.082720 | 500 | 5f.6d.7s2 | 5f.7s2.7p
Th I | 583.237045 | 1600 | 6d2.7s2 | *
Th I | 584.064043 | 700 | 5f.6d.7s2 | *
Th I | 584.380690 | 590 | 5f.6d.7s2 | *
Th I | 584.591887 | 550 | 6d2.7s2 | *
Th I | 585.268089 | 2600 | 5f.6d.7s2 | 5f2.7s2
Th I | 585.347457 | 1300 | 6d2.7s2 | 6d2.7s.7p
Th I | 585.412050 | 2000 | 6d3.(4F).7s | *
Th I | 586.371827 | 1400 | 6d2.7s2 | *
Th I | 586.985066 | 700 | 5f.6d.7s2 | *
Th II | 587.055285 | 580 | 5f.(2F*).6d2.(3F) | 5f2.(3F).7s
Th I | 587.118273 | 680 | 6d2.7s2 | *
Th I | 588.570155 | 5200 | 6d3.(4F).7s | *
Th I | 588.653128 | 690 | 5f.6d.7s2 | *
Th I | 589.145094 | 3400 | 5f.6d.7s2 | 5f2.7s2
Th I | 589.528184 | 540 | 6d3.(2G).7s | *
Th I | 589.984396 | 930 | 6d3.(4F).7s | 6d2.7s.7p
Th I | 590.557060 | 2100 | 6d2.7s2 | *
Th I | 590.892544 | 1800 | 6d3.(4F).7s | 5f.6d2.7s
Th I | 590.895741 | 830 | 6d3.(4F).7s | *
Th II | 591.438576 | 930 | 5f.6d.(3G*).7s | 5f.7s.(3F*).7p
Th I | 591.467080 | 5600 | 6d3.(4F).7s | *
Th I | 591.471366 | 1300 | 6d2.7s2 | *
Th I | 591.672817 | 590 | 6d3.(4P).7s | *
Th I | 591.894461 | 1100 | 6d3.(4F).7s | *
Th I | 592.540347 | 1600 | 6d2.7s2 | *
Th I | 592.586395 | 610 | 6d3.(4P).7s | *
Th I | 592.586464 | 610 | * | *
Th II | 592.589202 | 620 | 6d2.(1G).7s | 5f.(2F*).6d2.(3P)
Th I | 592.623196 | 3100 | 5f.6d.7s2 | 5f.6d.7s.7p
Th I | 592.993426 | 1100 | 6d2.7s2 | *
Th I | 593.638612 | 530 | 6d3.(4F).7s | *
Th I | 593.71619 | 500 | 6d3.(4P).7s | *
Th I | 593.766342 | 1200 | 5f.6d.7s2 | *
Th I | 593.845686 | 2700 | 6d2.7s2 | 6d2.7s.7p
Th I | 593.882509 | 6200 | 6d3.(4F).7s | *
Th I | 594.464732 | 2700 | 5f.6d.7s2 | 5f.6d.7s.7p
Th I | 595.556171 | 500 | 6d3.(4P).7s | *
Th I | 596.973730 | 620 | 6d3.(4P).7s | *
Th I | 597.366467 | 17000 | 6d2.7s2 | 6d.7s2.7p
Th I | 597.506479 | 7400 | 6d3.(4F).7s | *
Th II | 598.904476 | 3700 | 6d2.(3F).7s | 5f.(2F*).6d2.(3F)
Th I | 599.100701 | 4400 | 6d3.(4F).7s | *
Th I | 599.3960 | 590 | 6d3.(2H).7s | *
Th I | 599.412865 | 12000 | 6d2.7s2 | 6d.7s2.7p
Th I | 599.662968 | 570 | 5f.6d.7s2 | 6d3.(2D1).7s
